Waktu,Aktivitas,Valid,Q_Signal,RR_Status,Anomaly_Score,HR_Mean,Z_HR,RMSSD,Z_RMSSD,SDNN,Z_SDNN
2024-05-30T00:00:00.000Z,Lainnya,Yes,,NORMAL,0.61,107.25,,19.73,-0.88,25.47,-0.67
2024-05-30T00:10:00.000Z,Lainnya,No,,UNKNOWN,,108.75,,35.85,,39.2,
2024-05-30T00:15:00.000Z,Lainnya,No,,UNKNOWN,,114.39,,17.29,,19.65,
2024-05-30T00:25:00.000Z,Lainnya,Yes,,NORMAL,0.36,110.77,,23.55,-0.09,27.54,-0.45
2024-05-30T00:30:00.000Z,Lainnya,Yes,,NORMAL,1.32,93.88,,27.14,0.64,28.01,-0.39
2024-05-30T00:35:00.000Z,Lainnya,Yes,,NORMAL,0.74,96.41,,22.35,-0.38,21.65,-0.99
2024-05-30T00:40:00.000Z,Lainnya,Yes,,NORMAL,0.11,95.58,,25.74,0.36,34.8,0.35
2024-05-30T00:45:00.000Z,Lainnya,Yes,,NORMAL,0.27,90.43,,27.9,0.82,30,-0.14
2024-05-30T00:50:00.000Z,Lainnya,Yes,,NORMAL,0.22,88.37,,23.83,-0.12,28.95,-0.24
2024-05-30T01:05:00.000Z,Lainnya,Yes,,NORMAL,0.26,98.36,,34.73,2.37,40.71,1.01
2024-05-30T01:10:00.000Z,Lainnya,Yes,,NORMAL,0.12,95.96,,29.25,0.89,36.44,0.51
2024-05-30T01:15:00.000Z,Lainnya,Yes,,NORMAL,0.29,94.96,,34.08,1.85,46.53,1.59
2024-05-30T02:10:00.000Z,Lainnya,Yes,,NORMAL,0.32,98.67,,46.24,4.05,38.27,0.59
2024-05-30T02:15:00.000Z,Lainnya,Yes,,NORMAL,0.4,106.2,,40.2,2.06,34.12,0.13
2024-05-30T02:20:00.000Z,Lainnya,Yes,,NORMAL,0.17,101.02,,38.2,1.56,48.54,1.7
2024-05-30T03:50:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,0.26,92.24,,35.39,1.07,45.1,1.21
2024-05-30T03:55:00.000Z,Lainnya,No,,UNKNOWN,,87.5,,24,,16.97,
2024-05-30T04:05:00.000Z,Lainnya,No,,UNKNOWN,,101.5,,65,,45.96,
2024-05-30T04:20:00.000Z,Lainnya,No,,UNKNOWN,,107.43,,14.8,,18.42,
2024-05-30T04:25:00.000Z,Lainnya,Yes,,NORMAL,0.68,102.57,,23.49,-0.56,20.82,-1.34
2024-05-30T04:30:00.000Z,Lainnya,No,,UNKNOWN,,103.5,,19.64,,22.72,
2024-05-30T06:15:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,1.55,99.84,,14.57,-2.25,14.73,-2.46
2024-05-30T06:20:00.000Z,Lainnya,Yes,,NORMAL,1.13,97.13,,19.14,-1.54,21.19,-1.49
2024-05-30T06:25:00.000Z,Lainnya,Yes,,NORMAL,0.46,102.41,,24.94,-0.57,35.24,0.67
2024-05-30T06:30:00.000Z,Lainnya,No,,UNKNOWN,,111,,0,,0,
2024-05-30T07:50:00.000Z,Lainnya,No,,UNKNOWN,,114,,0,,0,
2024-05-30T07:55:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,2.24,110.68,,17.84,-1.65,16.01,-2.22
2024-05-30T08:05:00.000Z,Lainnya,Yes,,NORMAL,0.96,105.82,,23.89,-0.72,19.19,-1.74
2024-05-30T08:15:00.000Z,Lainnya,No,,UNKNOWN,,104,,0,,0,
2024-05-30T08:20:00.000Z,Lainnya,Yes,,NORMAL,0.55,99.01,,42.64,2.22,35.98,0.79
2024-05-30T08:25:00.000Z,Lainnya,Yes,,NORMAL,0.92,97.45,,23.13,-0.84,41.49,1.58
2024-05-30T08:30:00.000Z,Lainnya,Yes,,NORMAL,1.3,95.79,,18.36,-1.52,25.24,-0.82
2024-05-30T08:40:00.000Z,Lainnya,No,,UNKNOWN,,97.67,,26.32,,25.77,
2024-05-30T10:45:00.000Z,Lainnya,Yes,,BASELINE_PAUSED,1.65,96.49,,16.63,-1.71,28.18,-0.38
2024-05-30T10:50:00.000Z,Duduk,No,,UNKNOWN,,100.57,,9.64,,6.32,
2024-05-30T11:00:00.000Z,Lainnya,No,,UNKNOWN,,95,,0,,0,
2024-05-30T11:25:00.000Z,Lainnya,No,,UNKNOWN,,92,,13,,9.19,
2024-05-30T11:30:00.000Z,Lainnya,Yes,,INSUFFICIENT_BASELINE,0.04,95.76,0,43.07,0,51,0
2024-05-30T11:35:00.000Z,Lainnya,Yes,,NORMAL,1.43,98.18,,24.95,-0.74,22.95,-0.68
2024-05-30T11:40:00.000Z,Lainnya,Yes,,NORMAL,0.69,95.57,,18.11,-1.26,28.27,-0.23
2024-05-30T11:45:00.000Z,Lainnya,Yes,,NORMAL,0.55,92.89,,18.77,-0.86,22,-0.68
2024-05-30T11:50:00.000Z,Lainnya,Yes,,NORMAL,0.42,89.64,,23.67,-0.24,25.18,-0.33
2024-05-30T11:55:00.000Z,Lainnya,No,,UNKNOWN,,90,,12.04,,12.01,
2024-05-30T12:10:00.000Z,Lainnya,No,,UNKNOWN,,98,,11,,7.78,
2024-05-30T12:15:00.000Z,Lainnya,Yes,,NORMAL,0.23,91.65,,22.26,-0.37,29.74,0.1
2024-05-30T12:30:00.000Z,Lainnya,Yes,,NORMAL,0.43,90.37,,19.83,-0.64,28.25,-0.05
2024-05-30T12:35:00.000Z,Lainnya,No,,UNKNOWN,,95.75,,26.67,,42,
2024-05-30T12:40:00.000Z,Lainnya,Yes,,NORMAL,0.83,92.18,,17.09,-0.93,29.26,0.06
2024-05-30T12:45:00.000Z,Lainnya,Yes,,NORMAL,0.79,98.5,,15.98,-0.98,18.63,-1.14
2024-05-30T12:50:00.000Z,Lainnya,Yes,,NORMAL,0.29,96.86,,23.78,0.11,31.2,0.38
2024-05-30T12:55:00.000Z,Lainnya,Yes,,NORMAL,0.11,97.39,,24.25,0.17,29.91,0.21
2024-05-30T13:00:00.000Z,Lainnya,Yes,,NORMAL,0.33,95.56,,19.84,-0.46,30.99,0.34
